query,lat,lon
"Bem rakpart 26., Budapest, Hungary",47.5051971,19.038951
"Lágymányosi Street 4., Budapest, Hungary",47.477395,19.0541388
"Budapest XI. kerület, Adony utca, Hungary",,
"Adony utca, Budapest, Hungary",47.4482595,19.0314343
"Dohány Street, Budapest, Hungary",47.4961024,19.0608682
"Budapest VI. kerület, Dessewffy utca 18-20., Hungary",,
"Dessewffy utca 18-20., Budapest, Hungary",47.5052995,19.0568631
"Budapest VI. kerület, Jókai tér 8., Hungary",,
"Jókai tér 8., Budapest, Hungary",47.5055812,19.0613399
"Hollán Ernő street 3., Budapest, Hungary",47.5173838,19.0523054
"Budapest VI. kerület, Belső-Terézváros, Hungary",,
"Lechner Ödön fasor 1., Budapest, Hungary",47.4776948,19.0678958
"Corvin köz 4., Budapest, Hungary",47.4864644,19.0711005
"Ferenc Boulevard, Budapest, Hungary",47.4849875,19.0695575
"Budapest VII. kerület, Nefelejcs utca, Hungary",,
"Nefelejcs utca, Budapest, Hungary",47.4515857,19.175631
"Budapest XI. kerület, Iglói utca, Hungary",,
"Iglói utca, Budapest, Hungary",47.5739295,19.1031191
"Ciklámen Street 4., Budapest, Hungary",47.5160263,19.0905809
"Budapest VII. kerület, Dob utca 34-36., Hungary",,
"Dob utca 34-36., Budapest, Hungary",47.498385,19.0614149
"Budapest IX. kerület, Ráday utca 54., Hungary",,
"Ráday utca 54., Budapest, Hungary",47.4823428,19.0671933
"Teréz körút 19., Budapest, Hungary",47.5059776,19.0629633
"Harmat köz, Budapest, Hungary",47.4891047,19.1387448
"Budapest V. kerület, Vármegye utca 7., Hungary",,
"Vármegye utca 7., Budapest, Hungary",47.4942148,19.0568791
"Csalogány street 4., Budapest, Hungary",47.5077149,19.0337141
"Üllői street 101., Budapest, Hungary",47.4708584,19.1138472
"Aranykéz street 6., Budapest, Hungary",47.494985,19.0510811
"József Boulevard 30-32., Budapest, Hungary",47.4933527,19.0715351
"Budapest IX. kerület, Lenhossék utca, Hungary",,
"Lenhossék utca, Budapest, Hungary",47.4810807,19.0807517
"Haránt köz 14/B., Budapest, Hungary",47.540099,19.0175139
"Budapest XI. kerület, Alíz utca 6., Hungary",,
"Alíz utca 6., Budapest, Hungary",47.4589903,19.0487356
"Aradi street 14., Budapest, Hungary",47.5058702,19.061628
"Lőportár köz 6., Budapest, Hungary",47.5190013,19.0682351
"Iglói Street 6., Budapest, Hungary",47.5739295,19.1031191
"Budapest 5. kerület, Hungary",47.500537,19.0507142
"Budapest XIII. kerület, Cserhalom utca 7., Hungary",,
"Cserhalom utca 7., Budapest, Hungary",47.5466742,19.0701748
"Cserhalom Street 6., Budapest, Hungary",47.5449752,19.0684765
"Máriássy street 4., Budapest, Hungary",47.4694783,19.0805304
"Ráday street 14., Budapest, Hungary",47.4467721,19.1913407
"Garda Street 3., Budapest, Hungary",47.4674371,19.0550322
"Szőlő köz, Budapest, Hungary",47.5384704,19.039051
"Budapest I. kerület, Várkert rakpart 17., Hungary",,
"Várkert rakpart 17., Budapest, Hungary",47.4916142,19.0454894
"Dohány street, Budapest, Hungary",47.4961024,19.0608682
"Budapest 10. kerület, Hungary",47.4666288,19.1273599
"Budapest 17. kerület, Hungary",47.4940241,19.2316717
"Budapest 1. kerület, Hungary",47.5049274,19.0303372
"Budapest 6. kerület, Hungary",47.5084561,19.0686938
"Budapest VI. kerület, Zichy Jenő utca 41., Hungary",,
"Zichy Jenő utca 41., Budapest, Hungary",47.5055961,19.0592359
"Budapest 7. kerület, Hungary",47.5007369,19.0638024
"Budapest 14. kerület, Hungary",47.5131532,19.0837164
"Budapest 13. kerület, Hungary",47.5449692,19.0735283
"Budapest 8. kerület, Hungary",47.4862576,19.0778842
"Budapest 4. kerület, Hungary",47.5695064,19.1087966
