price_huf,floor_area_m2,rooms,district,distance_to_center_km,balcony_m2,min_rent_months,internal_height_ord,property_condition_clean,floor_num,building_level_num,year_missing_flag,building_age,aircon_bin,elevator_bin
225000,64,2,14,4.779776174,4,12,0,renovated,3,3,1,,1,0
350000,66,2,6,1.144478681,0,12,0,new,3,6,0,20.5,1,1
360000,72,2,8,1.947015705,2,18,0,renovated,3,3,0,61,1,0
900000,153,4,11,3.46709936,70,12,,in good condition,0,2,0,35.5,1,0
419000,78,3,13,4.26471956,0,12,0,new,3,7,0,4,0,1
435000,83,4,13,4.26471956,0,12,0,new,3,7,0,4,0,1
210000,38,1,13,4.26471956,0,12,0,renovated,4,5,0,86,1,1
275000,47,2,10,7.367000298,0,,0,new,4,6,0,2,1,1
320000,65,3,11,3.46709936,0,12,0,novel,4,8,0,15,1,1
320000,75,3.5,8,1.947015705,3,12,,novel,6,6,0,20.5,1,1
235000,32,1,17,4.093395263,0,6,,new,0,0,0,2,1,0
215000,31,1,1,1.182039152,0,12,0,renovated,5,6,0,86,0,1
320000,36,2,2,5.141908853,0,12,,renovated,0,3,1,,0,0
900000,123,3.5,11,3.46709936,50,12,0,novel,2,2,0,20.5,1,0
230000,45,2,9,3.262295076,0,12,,in good condition,0,4,1,,0,1
260000,46,2,6,1.144478681,0,12,,renovated,0,3,1,,0,0
220000,46,2,8,1.947015705,0,12,0,new,5,7,0,10,1,1
220000,50,2,9,3.262295076,0,12,0,novel,5,7,0,20.5,1,1
600000,98,4,13,4.26471956,0,6,1,renovated,0,5,1,,1,1
360000,54,2,13,4.26471956,16,12,0,renovated,5,5,0,86,0,1
565500,73,3,6,1.144478681,0,12,,renovated,0,3,1,,1,0
260000,54,2,12,2.684578715,3,12,0,renovated,5,6,1,,1,1
300000,75,4,9,3.262295076,10,12,0,novel,5,6,0,20.5,1,1
1322160,188,3,7,1.253962327,105,12,0,novel,6,6,0,20.5,0,1
450000,104,4,14,4.779776174,25,12,,novel,0,,1,,0,0
270000,42,2,13,4.26471956,3,12,0,novel,7,9,0,20.5,1,1
599000,121,4.5,7,1.253962327,3,24,1,novel,5,6,1,,1,1
270000,45,2,13,4.26471956,7,12,0,new,8,8,0,5,1,1
220000,40,2,8,1.947015705,0,12,,renovated,0,,1,,0,0
220000,50,1,13,4.26471956,0,12,,novel,0,,1,,0,0
450000,71,3,11,3.46709936,0,12,0,new,8,8,0,5,1,1
160000,35,1,4,7.372421388,0,12,0,in good condition,9,10,1,,1,1
360000,54,2,14,4.779776174,0,12,,new,0,8,0,2,1,1
210000,33,1,11,3.46709936,0,12,0,renovated,10,10,1,,1,1
806000,100,3,2,5.141908853,13,12,0,novel,0,2,0,20.5,1,1
399000,111,3,3,7.772316604,0,12,0,renovated,0,4,1,,0,1
285000,40,2,9,3.262295076,0,24,0,renovated,0,3,0,61,0,0
195000,51,2,9,3.262295076,4,12,0,in good condition,0,4,1,,1,0
1112280,130,4.5,2,5.141908853,33,,,novel,,2,1,,1,0
319000,58,2,3,7.772316604,20,12,0,new,0,3,0,5,1,1
220000,40,1,12,2.684578715,6,12,,unknown,,,1,,0,0
622300,95,4,3,7.772316604,20,24,0,renovated,0,,0,7,1,0
270000,59,2,11,3.46709936,4,12,0,renovated,0,3,1,,0,0
640000,200,5.5,2,5.141908853,0,24,0,renovated,1,2,0,35.5,1,0
584610,170,5,2,5.141908853,80,12,,novel,,3,1,,1,0
350000,66,2,2,5.141908853,0,12,0,unknown,,,1,,0,0
312000,43,2,9,3.262295076,4,12,,renovated,,,1,,1,1
440000,63,3,3,7.772316604,0,12,0,new,10,10,0,3,1,1
