price_huf,floor_area_m2,rooms,district,balcony_m2,min_rent_months,internal_height_ord,property_condition_clean,floor_num,building_level_num,year_missing_flag,building_age,aircon_bin,elevator_bin,lat,lon,distance_to_center_km_real,dist_to_metro_km,dist_to_danube_km,is_inner_ring
210000,46,1.5,14,0,12,0,in good condition,4,4,0,61,1,0,47.5131532,19.0837164,2.708687438,0.514675704,2.924522428,0
220000,40,1.5,7,0,12,,renovated,2,4,0,86,0,0,47.5007369,19.0638024,0.692241693,0.403581455,1.04009209,1
220000,42,1.5,14,5,12,,novel,2,3,0,20.5,1,0,47.5131532,19.0837164,2.708687438,0.514675704,2.924522428,0
285000,54,2,11,0,17,,new,1,10,1,,1,1,47.4706064,19.0631939,3.088091576,1.31099856,0.151578427,0
370000,40,2,2,0,12,0,new,3,,1,,1,1,47.5184135,19.0287884,3.042773925,1.202996853,0.860215167,0
290000,45,2,13,0,12,0,new,3,8,0,7,1,1,47.5449692,19.0735283,5.404227601,0.454565413,3.747634488,0
260000,45,2,11,0,12,0,new,3,9,0,7,1,1,47.4706064,19.0631939,3.088091576,1.31099856,0.151578427,0
270000,47,2,11,6,12,0,new,3,7,0,7,1,1,47.4706064,19.0631939,3.088091576,1.31099856,0.151578427,0
195000,42,1.5,13,0,12,0,in good condition,5,8,0,35.5,0,1,47.5449692,19.0735283,5.404227601,0.454565413,3.747634488,0
290000,60,3,12,10,12,,renovated,1,3,1,,1,0,47.4875911,19.0130384,3.397011208,1.714526415,3.100870954,0
300000,42,1.5,5,8,6,0,renovated,5,5,1,,1,1,47.500537,19.0507142,0.469781984,0.32524425,0.080274664,1
268000,50,2,6,0,12,0,renovated,3,4,0,20.5,1,1,47.5084561,19.0686938,1.531401827,0.102149846,1.689944769,1
300000,52,2,6,0,12,0,renovated,3,4,0,20.5,1,1,47.5084561,19.0686938,1.531401827,0.102149846,1.689944769,1
395000,60,2,6,0,12,0,renovated,3,4,1,,0,0,47.5084323,19.0583909,1.189754759,0.343167152,1.020772048,1
450000,65,3,14,0,12,,new,1,8,0,2,1,1,47.5150279,19.1147634,4.834856453,1.586854431,5.143483657,0
280000,64,2,14,14,12,0,renovated,3,3,0,35.5,1,0,47.5131532,19.0837164,2.708687438,0.514675704,2.924522428,0
270000,43,1.5,4,9,12,0,novel,5,10,0,6,0,1,47.5695064,19.1087966,8.90770374,1.701839347,7.547697974,0
650000,70,2,11,9,12,0,renovated,3,3,0,61,1,0,47.4706064,19.0631939,3.088091576,1.31099856,0.151578427,0
195000,30,1.5,2,4,12,0,novel,0,0,0,20.5,0,0,47.5184135,19.0287884,3.042773925,1.202996853,0.860215167,0
